# chapter	claim id	one-line claim as made in prose	source (URL or citation with page/section)	status
08	08-lede-controller	Ashton says Maersk's first restored domain controller ran on a Surface Pro 4 after controllers had been lost worldwide.	Gavin Ashton, “Maersk, me & NotPetya,” “Finding our feet,” https://gvnshtn.com/p/maersk-me-and-notpetya	checked-by:codex:2026-09-03
08	08-lede-sync	Wired reports that Maersk's domain controllers synchronized their data.	Wired, “The Untold Story of NotPetya,” Maersk recovery passage	checked-by:codex:2026-09-03
08	08-maersk-entry	NotPetya hit Maersk on 27 June 2017 through Ukrainian tax-filing software and made applications and data unavailable.	A.P. Moller–Maersk, Key Statements Q2 2017, PDF p.4, https://investor.maersk.com/static-files/0ed2b2c8-518c-48ce-b009-c7b06308ad71	checked-by:codex:2026-09-03
08	08-updater-holds	Cisco traced installations through M.E.Doc's update system and Microsoft saw its legitimate updater execute the malicious command.	Cisco Talos, “The MeDoc Connection,” Summary; Microsoft, “New ransomware, old techniques,” Delivery and installation	checked-by:codex:2026-09-03
08	08-cisco-access	Cisco says M.E.Doc gave responders access to engineers and administrators, logs and code; it found stolen administrator credentials, root access and changed NGINX configuration.	Cisco Talos, “The MeDoc Connection,” Details, https://blog.talosintelligence.com/the-medoc-connection/	checked-by:codex:2026-09-03
08	08-cisco-backdoor	Cisco found M.E.Doc code modified in three update versions to gather data and execute downloaded code.	Cisco Talos, “The MeDoc Connection,” ZvitPublishedObjects.dll Backdoor Analysis	checked-by:codex:2026-09-03
08	08-indictment-staging	The indictment alleges three M.E.Doc update files were modified before NotPetya was delivered on 27 June.	United States v. Andrienko et al., indictment, ¶37, PDF p.17	checked-by:codex:2026-09-03
08	08-indictment-reroute	The indictment alleges temporary rerouting let altered M.E.Doc software receive the command that delivered NotPetya.	United States v. Andrienko et al., indictment, ¶38, PDF pp.18–19	checked-by:codex:2026-09-03
08	08-lateral-movement	Microsoft documented NotPetya's credential, session, file-share and SMB-based lateral movement; Ashton says it reached Maersk's controllers.	Microsoft, “New ransomware, old techniques,” lateral movement; Ashton, “Maersk, me & NotPetya,” “A bitter pill”	checked-by:codex:2026-09-03
08	08-ransomware-ruse	The indictment alleges ransom was a ruse, and ESET found NotPetya's disk changes made recovery impossible.	United States v. Andrienko et al., indictment, ¶33; ESET, “TeleBots are back,” Diskcoder.C outbreak	checked-by:codex:2026-09-03
08	08-continuity	Maersk reported manual customer workarounds, continuing vessel control and no third-party data loss.	A.P. Moller–Maersk, Key Statements Q2 2017, PDF p.4	checked-by:codex:2026-09-03
08	08-ashton-recovery	Ashton says disaster recovery covered a site or datacentre but not every controller, and the directory was rebuilt with partners.	Gavin Ashton, “Maersk, me & NotPetya,” “Finding our feet”	checked-by:codex:2026-09-03
08	08-ghana-open	Wired reports a Ghana controller survived a blackout, but fetched Maersk records and Ashton's account do not confirm those details.	Wired, “The Untold Story of NotPetya,” Maersk recovery passage; source-gap audit in resources/sources/08/SOURCES.md	checked-by:codex:2026-09-03
08	08-controller-sync	Wired says Maersk's controllers synchronized data and could in theory replace one another, but not survive simultaneous loss.	Wired, “The Untold Story of NotPetya,” Maersk recovery passage	checked-by:codex:2026-09-03
08	08-controller-loss-path	Ashton attributes NotPetya's movement into controllers to pass-the-hash and privileged-access weaknesses; Microsoft lists multiple lateral paths.	Gavin Ashton, “Maersk, me & NotPetya,” “A bitter pill”; Microsoft, “New ransomware, old techniques,” lateral movement	checked-by:codex:2026-09-03
08	08-ten-days-cost	Maersk says its network was rebuilt in ten days and reports losses of approximately USD 250–300 million.	Maersk, A View from the Other Side of a Crisis, p.4, “What we learned from the NotPetya Virus cyber-attack”; Annual Report 2017, printed pp.29, 54	checked-by:codex:2026-09-03
08	08-folk-numbers	Darknet Diaries' approximate nine-day timing is compatible with Maersk's ten days, while its USD 350 million figure exceeds Maersk's USD 250–300 million range.	Darknet Diaries episode 54 transcript; Maersk, A View from the Other Side of a Crisis, p.4; Annual Report 2017 pp.29, 54	checked-by:codex:2026-09-03
08	08-four-box-record	Cisco found compromised credentials, configuration and code; the indictment alleges staged update modification and rerouting.	Cisco Talos, “The MeDoc Connection”; United States v. Andrienko et al., indictment, ¶¶34, 37–38	checked-by:codex:2026-09-03
